,Brand,Variety,Style,Country/Region,Stars,Top Ten
326,Nissin,Disney Cuties Instant Noodle Seaweed Flavour,Cup,Thailand,3.0,
327,Singa-Me,Instant Noodles Mi Goreng Flavour,Cup,Australia,4.0,
328,New Touch,Sugomen Sano Ramen,Bowl,Japan,5.0,
329,Ottogi,Ramyon Sabor Y Camaron,Pack,Mexico,4.0,
330,Nissin,Demae Iccho Spicy XO Sauce Seafood Flavour,Pack,Hong Kong,4.0,
331,Love Cook,Sun Dried Noodle - Fruity Soy Bean Paste,Pack,Taiwan,4.0,
332,Nongshim,Shin Noodle Soup,Cup,USA,5.0,
333,Nissin,Sapporo Noukou Miso Ramen,Bowl,Japan,5.0,
334,Dream Kitchen,Soy Sauce,Cup,USA,4.0,
335,Nissin,Vietnamese Chicken Coriander Flavour Vermicelli,Cup,Hong Kong,4.0,
336,Kang Shi Fu,Artificial Spicy Beef Flavour,Pack,Hong Kong,4.0,
337,Nissin,Cup Noodles Black Pepper Crab Flavour,Cup,Hong Kong,4.0,
338,Great Value,Beef Style Noodles With Vegetables,Cup,Canada,3.0,
339,Fuku,Spicy Soup Instant Noodle Beef Flavour,Pack,Hong Kong,4.0,
340,Wang,Rice Noodle Anchovy Flavor,Bowl,South Korea,3.0,
341,Nissin,Cup Noodles Chicken Flavor Ramen Noodle Soup (New Recipe),Cup,USA,4.0,
342,Asian Thai Foods,Rumpum Gundruk Flavour,Pack,Nepal,1.0,
343,Nissin,Cup Noodle Light+ Bagna Cauda,Cup,Japan,5.0,
344,Maruchan,Gotsumori Koku Tonkotsu Ramen,Bowl,Japan,4.0,
345,Fashion Food,Tom Yum Shrimp Creamy Flavour Instant Noodles,Bowl,Thailand,4.0,
346,Paldo,Bibim Men,Bowl,South Korea,5.0,
347,Nissin,Cup Noodles Milk Seafood Flavour,Cup,Hong Kong,4.0,
348,Nissin,Spicy Chikin Donburi,Bowl,Japan,5.0,
349,Fantastic,Noodle Chicken Flavour,Cup,Australia,4.0,
350,Marutai,Kuroma-Yu Tonkotsu Kumamoto Ramen,Pack,Japan,4.0,
351,Kang Shi Fu,Artificial Beef With Sauerkraut Flavour,Pack,Hong Kong,4.0,
352,Nissin,Raoh Shoyu Ramen,Bowl,Japan,5.0,
353,Maruchan,Ramen Noodle Soup Sriracha Chicken Flavor,Pack,USA,4.0,
354,Nagatanien,Hiyashi Soba Taidashi Goma,Pack,Japan,3.0,
355,Fuku,Bowl Chicken Flavour Instant Rice Vermicelli,Bowl,Hong Kong,4.0,
356,Wai Wai,X-Press Flavour Of Pizza In Noodles Proprietary Food,Pack,India,4.0,
357,KOKA,Rice Noodles Fragrant Chicken Pho Ga Flavour,Pack,Singapore,4.0,
358,Nyor Nyar,Vegetarian Penang White Curry,Pack,Malaysia,5.0,
359,Nissin,Cup Noodle Seafood,Cup,Japan,5.0,
360,Paldo,Budae Jjigae,Pack,South Korea,5.0,
361,Fantastic,Noodles Crispy Bacon Flavour,Cup,Australia,1.0,
362,Tseng Noodles,Spicy Braised Pork Flavor,Pack,Taiwan,4.0,
363,Nissin,Demae Ramen Spicy Seafood Flavour Instant Noodle,Pack,Hong Kong,5.0,
364,A-Sha Dry Noodle,Chow Mein Spicy Flavor,Tray,Taiwan,3.0,
365,Myojo,Mee Goreng Spicy Flavour,Pack,Singapore,5.0,
366,Sapporo Ichiban,Tabimen Nagasaki Chanpon,Bowl,Japan,4.0,
367,Acecook,Oh! Ricey Pork Flavour,Pack,Vietnam,4.0,
368,Paldo,Bul Jjamppong,Pack,South Korea,4.0,
369,Nissin,Disney Cuties Instant Noodle Roast Pork Flavour,Cup,Thailand,3.0,
370,Morre,Instant Noodles Masala,Pack,Pakistan,4.0,
371,Nissin,Demae Ramen Spicy Hot tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5.0,
372,Roland,Ramen Japanese Style Quick-Cooking Alimentary Paste With Chicken Artificially Flavored Soup Base,Pack,USA,0.0,
373,Nissin,Big Cup Noodles Tonkotsu Flavour,Cup,Hong Kong,3.0,
374,Nissin,Deka Buto Kuro M-yu Tonkotsu,Bowl,Japan,5.0,
375,Maruchan,Bowl Taste Of Asia Hearty Pork Flavor Tonkotsu Ramen,Bowl,USA,4.0,
376,Nissin,Cup Noodles Sabor Galinha Caipira,Cup,Brazil,4.0,
377,Nongshim,Bowl Noodle Soup Independence Day Limited Edition Spicy Chicken Flavor,Bowl,USA,4.0,
378,Nissin,Nupasta Vongole Flavour Instant Noodle,Cup,Hong Kong,4.0,
379,Mr. Lee's Noodles,Penang Chicken Curry Laksa,Cup,UK,2.0,
380,Mr. Lee's Noodles,Shaolin Monk Vegetables,Cup,UK,5.0,
381,Mr. Lee's Noodles,Tai Chi Chicken,Cup,UK,3.0,
382,Mr. Lee's Noodles,Dragon Fire Mushroom,Cup,UK,3.0,
383,Mr. Lee's Noodles,Hong Kong Street Beef,Cup,UK,5.0,
384,Mr. Lee's Noodles,Warrior Fighting Shrimp,Cup,UK,3.3,
385,Nissin,Gyorai Inaniwa Chuka Soba,Bowl,Japan,5.0,
386,Fuku,Chicken Flavour Instant Noodle,Pack,Hong Kong,4.0,
387,Knorr,Chicken Flavored Instant Noodles,Pack,Pakistan,3.0,
388,Nyor Nyar,Penang White Curry Instant Noodle,Pack,Malaysia,5.0,
389,Choumama,XO Scallops Sauce Dry Noodles,Pack,Taiwan,4.0,
390,Myojo,Barikata Noukou Tonkotsu Shoyu,Bowl,Japan,4.75,
391,Nissin,Demae Ramen Sesame Oil Flavour Cup,Cup,Hong Kong,4.0,
392,Singa-Me,Instant Noodles Chicken Flavour,Cup,Australia,2.5,
393,Pulmuone,Non-Fried Ramyun Noodle (Crab Flavor),Pack,South Korea,5.0,
394,Master Kong,Assorted Seafood Noodles,Pack,China,4.0,
395,Nissin,Raoh Hot & Sour Ramen,Pack,Japan,5.0,
396,President Rice,Coriander Instant Rice Noodles,Bowl,Thailand,2.75,
397,MAMA,Instant Rice Noodles Moo Nam Tok Flavour,Pack,Thailand,3.5,
398,MAMA,Instant Rice Vermicelli Clear Soup,Pack,Thailand,3.5,
399,MAMA,Instant Rice Noodles Chicken Flavour,Pack,Thailand,4.0,
400,MAMA,Pho Ga Rice Noodles With Artificial Chicken Flavour,Bowl,Thailand,3.0,
401,MAMA,Oriental Kitchen Instant Rice Vermicelli In Gravy,Pack,Thailand,5.0,
402,MAMA,Instant Tom Yam Rice Noodles,Pack,Thailand,4.0,
403,MAMA,Instant Rice Noodles Vegetable Flavour,Pack,Thailand,4.0,
404,MAMA,Instant Rice Vermicelli Yentafo Tom Yam Mohfai,Pack,Thailand,5.0,
405,MAMA,Instant Flat Noodles Clear Soup,Pack,Thailand,4.0,
406,MAMA,Cup Rice Noodles Tom Saab Flavour,Cup,Thailand,5.0,
407,MAMA,Instant Rice Noodles Stew Beef Flavour,Pack,Thailand,4.0,
408,MAMA,Instant Rice Noodles Phnom Penh Style,Pack,Thailand,4.0,
409,MAMA,Instant Flat Noodles Tom Yam Flavour,Pack,Thailand,4.0,
410,Maruchan,Ramen Noodle soup Mushroom Flavor,Pack,USA,4.0,
411,Happy Family,Vegetable Flavour Instant Noodles,Pack,Singapore,4.0,
412,Tseng Noodles,Rice Noodle Shallot With Braised Pork Flavor,Pack,Taiwan,5.0,
413,Great Value,Vegetable Flavour Noodles With Vegetables,Cup,Canada,3.0,
414,JML,Instant Noodle Artificial Beef Flavor 7 sour Pickled Cabbage,Pack,China,4.0,
415,Suimin,Noodles With Hot & Spicy Flavour,Cup,Australia,3.0,
416,Tseng Noodles,Rice Noodle Chinese Mushroom With Soybean Vegetarian Braised Pork Flavor,Pack,Taiwan,5.0,
417,Nissin,Piritto Karakuchi Tantan Udon,Bowl,Japan,4.0,
418,Tseng Noodles,Rice Noodle Seafood Laksa Flavour,Pack,Taiwan,5.0,
419,Nongshim,Chal Bibim Myun,Pack,South Korea,5.0,
420,Menraku,Japanese Yakisoba Umami Sauce,Bowl,Japan,5.0,
421,La Moderna,Sazon Casero Sopa Con Tomate Y Sabor Pollo,Pack,Mexico,3.0,
422,A-Sha Dry Noodle,Chow Mein Original Flavor,Tray,Taiwan,5.0,
423,Master Kong,Artificial Mushroom Chicken Flavor Instant Noodle,Pack,China,4.0,
424,A-Sha Dry Noodle,Chow Mein Oyster Sauce BBQ Flavor,Tray,Taiwan,2.0,
425,Jingqi,Aloe Vera Guan Mian Purple Sweet Potato Noodle With Spicy Miso Sauce,Pack,Taiwan,4.0,
426,Jingqi,Black Eyes Bean Original Noodle With Sesame Sauce,Pack,Taiwan,4.0,
427,Jingqi,Aloe Vera Guan Mian Pumpkin Noodle With Basil Sauce,Pack,Taiwan,4.0,
428,Jingqi,Black Eyes Bean Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5.0,
429,Jingqi,Aloe Vera Guan Mian Original Noodle With Sesame Sauce,Pack,Taiwan,5.0,
430,Jingqi,Black Eyes Bean Purple Sweet Potato Noodle With Spicy Miso Sauce,Pack,Taiwan,3.0,
431,Jingqi,Aloe Vera Guan Mian Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5.0,
432,Jingqi,Black Eyes Bean Pumpkin Noodles With Basil Sauce,Pack,Taiwan,5.0,
433,Maruchan,Instant Lunch Pork Flavor Ramen Noodles With Vegetables,Cup,USA,3.0,
434,Sapporo Ichiban,Kun Ramen Sumo-kuchikin (Smoked Chicken),Bowl,Japan,3.0,
435,Dream Kitchen,Tonkotsu,Cup,USA,3.0,
436,Nissin,Lamen Sabor Picanha,Pack,Brazil,4.0,
437,Thien Houng Foods,Lemon Chicken Flavour Instant Noodles,Pack,Vietnam,3.0,
438,Maruchan,Bowl Taste Of Asia Miso Chicken Flavor Spicy Miso Ramen,Bowl,USA,4.0,
439,Nissin,Men Shokunin Kaoruyasai Shio,Bowl,Japan,5.0,
440,Wang,Rice Noodle Seafood Flavour,Bowl,South Korea,5.0,
441,Fuku,Superior Soup Instant Noodles (Mfg in Thailand),Pack,Hong Kong,4.0,
442,Fuku,Superior Soup Instant Noodles (Mfg in Vietnam),Pack,Hong Kong,4.0,
443,Nissin,Demae Ramen Spicy Curry Flavour Instant Noodles,Pack,Hong Kong,4.0,
444,Nissin,Demae Ramen Roast Beef Flavour Instant Noodles,Pack,Hong Kong,4.0,
445,Doll,Instant Noodle Supreme Abalone And Chicken Flavour,Pack,Hong Kong,2.0,
446,Four Seas,Chicken Flavour Instant Noodle,Pack,Hong Kong,4.0,
447,Nissin,Kimchi Chikin Ramen Donburi,Bowl,Japan,5.0,
448,Maruchan,Instant Lunch Chipotle Chicken Flavor Ramen Noodle Soup,Cup,USA,5.0,
449,Myojo,Mee Goreng Thai Tom Yum Flavour,Pack,Singapore,4.0,
450,Kang Shi Fu,Artificial Salted Beef With Mushrooms Flavour,Pack,Hong Kong,4.0,
451,CarJEN,Hot & Spicy Dry Curry With Chives Soup,Pack,Malaysia,5.0,
452,Sapporo Ichiban,Taimeiken Yousyoku Yasangatsukutta Omumen,Cup,Japan,4.0,
453,Suimin,Noodles With Chicken & Sweet Corn Flavour,Cup,Australia,2.25,
454,Nissin,Mennippon Oumi Chanpon,Bowl,Japan,5.0,
455,Happy Family,Curry Flavour Instant Noodles,Pack,Singapore,4.0,
456,7 Select,Nissin Instant Noodles Tom Yum Seafood Creamy Flavour King Cup,Bowl,Thailand,3.5,
457,Nissin,Cup Noodles Tom Yum Shrimp Sabb Flavour,Cup,Thailand,5.0,
458,Nissin,Chilli Noodles Stir Fried Holy Basil Flavour,Pack,Thailand,5.0,
459,Nissin,Instant Noodles Moo Manao Flavour,Pack,Thailand,4.0,
460,Nissin,Super Tom Yum Shrimp,Cup,Thailand,3.5,
461,Nissin,Cup Noodles Minced Pork Flavour,Cup,Thailand,3.5,
462,Nissin,Chilli Noodles Tom Yum Shrimp Creamy Soup Flavour,Cup,Thailand,3.25,
463,7 Select,Nissin Instant Noodles Shrimp Ma Nao Lui Suan Flavour King Cup,Bowl,Thailand,4.0,
464,Nissin,Instant Noodles Tom Yum Shrimp Saab Flavour,Pack,Thailand,4.0,
465,Nissin,Cup Noodles Moo Manao Flavour,Cup,Thailand,4.0,
466,Nissin,Instant Noodles Minced Pork Flavour,Pack,Thailand,3.5,
467,Nissin,Cup Noodles Seafood Creamy Flavour,Cup,Thailand,4.0,
468,Nissin,Chilli Noodles Spicy Tom Yum Flavour,Pack,Thailand,4.0,
469,Nissin,Cup Noodles Chilli Crab Flavour,Cup,Hong Kong,3.75,
470,Great Value,Vegetarian Flavour Ramen Noodles,Pack,Canada,3.0,
471,Oni Hot Pot,Tuna With Shallot Flavor Noodle,Pack,Taiwan,4.3,
472,Weh Lih,GGE Noodle Snack Wheat Crackers Original Ramen,Pack,Taiwan,1.0,
473,Nissin,Lamen Sabor Frango Assado Com Toque De Limao,Pack,Brazil,4.5,
474,Itomen,Onion Flavor Shoyu Ramen,Pack,Japan,3.5,
475,Maruchan,Ramen Noodle Soup Chicken Tortilla Flavor,Pack,USA,3.0,
476,Wang,Rice Noodle Kimchi Flavor,Bowl,South Korea,4.0,
477,Roland,Ramen Japanese Style Quick-Cooking Alimentary Paste With Beef Artificially Flavored Soup Base,Pack,USA,0.0,
478,Nissin,Cup Noodles Singapore Laksa,Cup,Japan,5.0,
479,Samyang Foods,Pojangmacha Udon,Pack,South Korea,4.0,
480,Myojo,Mee Goreng Original Flavour,Pack,Singapore,4.0,
481,Sanpo,Yakibuta Ramen,Bowl,Japan,4.0,
482,Nongshim,Kimchi Flavor Noodle Soup,Cup,USA,5.0,
483,CarJEN,Otentiq Cheezy Mushroom Instant Noodles (Improved Taste),Pack,Malaysia,5.0,
484,Maruchan,Seimen Noukou Toro Tonkotsu,Bowl,Japan,4.0,
485,Nissin,Straits Kitchen Laksa,Pack,Singapore,5.0,
486,Nongshim,Champong Noodle Soup Spicy Seafood Flavor,Pack,South Korea,5.0,
487,Oni Hot Pot,Seaweed Flavour Noodle,Pack,Taiwan,2.0,
488,Doll,Instant Noodle Preserved Vegetable Flavour,Pack,Hong Kong,4.0,
489,MyKuali,Penang Hokkien Prawn Noodle Authentic Taste,Cup,Malaysia,5.0,
490,Nissin,Nupasta Salmon In White Sauce Flavour Instant Noodle,Pack,Hong Kong,5.0,
491,Nissin,Big Cup Noodles Seafood Curry Flavour,Cup,Hong Kong,5.0,
492,Nissin,Demae Iccho Beef Flavour Instant Noodle,Bowl,Hong Kong,4.0,
493,Nissin,Mie Goreng Indonesia Stir Noodle Original Flavour,Pack,Hong Kong,4.0,
494,Nissin,Demae Ramen Sesame Flavour Instant Noodles,Pack,Hong Kong,5.0,
495,Fuku,Superior Soup Instant Rice Vermicelli,Bowl,Hong Kong,5.0,
496,Nissin,Demae Ramen Straight Noodle Kyushu Tonkotsu Instant Noodle,Pack,Hong Kong,5.0,
497,Nissin,Taisho Fried Noodle Sesame Paste Flavour Instant Noodle,Pack,Hong Kong,5.0,
498,Nissin,Cup Noodles Pork Chowder Flavour,Cup,Hong Kong,4.0,
499,Nissin,Cup Mifun Spicy Beef Flavour,Cup,Hong Kong,4.0,
500,Fuku,Non-Fried Superior Soup Noodle,Pack,Hong Kong,4.0,
501,Nissin,Nupasta Carbonara Flavour Instant Noodle,Cup,Hong Kong,5.0,
502,Nissin,Demae Iccho Curry Beef Flavour,Cup,Hong Kong,4.0,
503,Nissin,Cup Noodles Big Spicy Seafood Flavour,Cup,Hong Kong,5.0,
504,Nissin,Demae Iccho Black Garlic Oil Tonkotsu,Bowl,Hong Kong,3.75,
505,Mi Sedaap,Mi Segera Mi Goreng Ayam Krispi,Pack,Indonesia,4.5,
506,Nissin,Cup Noodles Sabor Pollo Habanero Y Limon Sopa Instantanea,Cup,Mexico,3.5,
507,Great Value,Spicy Ramen Noodles,Pack,Canada,4.0,
508,Maruchan,Bowl Taste Of Asia Beef Flavor Sukiyaki Ramen,Bowl,USA,5.0,
509,A-Sha Dry Noodle,Tainan Noodle Original Sauce,Pack,Taiwan,5.0,
510,Tokushima Seifun,Negi Ramen,Bowl,Japan,1.75,
511,Doll,Instant Noodle Vegetarian Flavour,Pack,Hong Kong,3.75,
512,Maggi,Fusian Special Edition Ow... Ow... Spicy Cow Mi Goreng,Pack,Australia,5.0,
513,Samyang Foods,Fresh Jjajang,Pack,South Korea,4.5,
514,Marutai,Hakata Tonkotsu Ramen,Pack,Japan,5.0,
515,Four Seas,Kung Tak Lam Vegetarian Noodle (Mushroom),Pack,Hong Kong,3.0,
516,Nongshim,Arrabiata Rice Bucatini,Pack,USA,5.0,
517,Mamee,Pepper Noodles Vegetarian,Pack,Hong Kong,3.25,
518,Ottogi,Ramyon Sabor Mariscos,Pack,Mexico,3.75,
519,Kamfen,Dried Mix Noodles Scallop Seafood Flavoured,Tray,Hong Kong,4.25,
520,Nissin,Cup Noodle Light+ Cheese Fondue,Cup,Japan,5.0,
521,Four Seas,Beef And Radish Flavour Instant Noodle,Pack,Hong Kong,2.5,
522,Zow Zow,Instant Noodle Shrimp Tom Yam Flavoured,Pack,Thailand,3.75,
523,Nissin,RapiFideo Sabor A Chile Y Limon,Cup,Mexico,3.75,
524,Koyo,Garlic Pepper Reduced Sodium Ramen,Pack,USA,0.0,
525,Nissin,Tokyo Tokunou Gyokai Tonkotsu,Bowl,Japan,5.0,
526,Suimin,Noodles Curried Prawn Flavour,Cup,Australia,3.25,
527,Maruchan,Instant Lunch Sriracha Chicken Flavor Ramen Noodle Soup,Cup,USA,3.75,
528,Indomie,Pop Mie Mi Instan Cup Rasa Ayam,Cup,Indonesia,3.5,
529,Master Kong,Artificial Pork Ribs Flavour Instant Noodle,Pack,China,3.5,
530,MyKuali,Penang Red Tom Yum Goong Noodle Authentic Taste,Cup,Malaysia,5.0,
531,Ottogi,Ramyon Sabor A Res,Pack,Mexico,4.0,
532,Acecook,Kadomen Koikoku Tonkotsu,Bowl,Japan,3.8,
533,Oni Hot Pot,XO Sauce Noodle,Pack,Taiwan,5.0,
534,E-Zee,Perisa Asam Pedas Mi Segera,Pack,Malaysia,4.0,
535,Great Value,Chicken Style Ramen Noodles,Pack,Canada,3.5,
536,Doll,Hello Kitty Dim Sum Noodle Japanese Soy Sauce Flavour,Cup,Hong Kong,3.0,
537,ORee Garden,Malaysia Green Curry Noodle,Bowl,Malaysia,5.0,
538,Suimin,Noodles Mi Goreng,Cup,Australia,4.3,
539,Master Kong,Tomato Sauce Instant Noodle,Pack,China,4.5,
540,Nissin,Cup Noodles Sabor Franhp Com Requeijao,Cup,Brazil,5.0,
541,Tokushima Seifun,Yakibuta Ramen,Bowl,Japan,5.0,
542,A1,Vegetarian Herbal Noodle,Pack,Malaysia,1.5,
543,Migawon,Hovenia Ramen Vegetable Flavor,Pack,South Korea,3.5,
544,A-Sha Dry Noodle,Hakka BBQ Sauce Noodle,Pack,Taiwan,4.25,
545,Acecook,Maru Uma Curry Udon,Cup,Japan,3.5,
546,Fantastic,Noodles Oriental Flavour,Cup,Australia,3.25,
547,Chaudhary's Wai Wai,Instant Noodles Artificial Chicken & Shrimp Flavored,Pack,India,2.5,
548,Kamfen,Noodle King Artificial Beef Soup Flavored,Bowl,Hong Kong,3.75,
549,CarJEN,Otentiq Cheezy Curry Instant Noodles (Improved Taste),Pack,Malaysia,5.0,
550,Myojo,Charumera Atyificial Tonkotsu Shouyu Flavor,Pack,Japan,3.75,
551,Singa-Me,Instant Noodles Beef Flavour,Cup,Australia,2.0,
552,Maruchan,"Sopa Maruchan Sabor a Camaron, Limon y Habanero",Pack,Mexico,3.5,
553,Nissin,Shinshu Miso Ramen,Bowl,Japan,5.0,
554,MyKuali,Penang White Curry Authentic Taste Cup,Cup,Malaysia,4.75,
555,Urban Noodle,Authentic Street Food Chow Mein,Cup,UK,2.0,
556,Urban Noodle,Authentic Street Food Pad Thai,Cup,UK,2.5,
557,Urban Noodle,Authentic Street Food Black Bean,Cup,UK,0.0,
558,Urban Noodle,Authentic Street Food Thai Red Curry,Cup,UK,3.0,
559,Urban Noodle,Authentic Street Food Satay,Cup,UK,5.0,
560,Kang Shi Fu,Artificial Roasted Beef,Pack,China,3.5,
561,Acecook,Seabura Tonkotsu Ramen,Cup,Japan,3.75,
562,Pulmuone,Noodle With Spicy Oyster Soup,Pack,South Korea,4.0,
563,Samyang Foods,Honey & Cheese Big Bowl,Bowl,South Korea,0.0,
564,Great Value,Chicken Style Noodles With Vegetables,Cup,Canada,3.5,
565,E-Zee,Perisa Kari Mi Segera (Improved Taste),Pack,Malaysia,5.0,
566,Oni Hot Pot,Ghost Pepper Noodle,Pack,Taiwan,4.5,
567,Great Value,Beef Style Ramen Noodles,Pack,Canada,3.5,
568,MAMA,Vegetarian Instant Noodles Shiitake Flavour,Pack,Thailand,2.0,
569,Trident,2 Minute Laksa Flavour Noodles,Pack,Australia,2.0,
570,MAMA,Rangers Snack Noodles Popcorn Flavour,Pack,Myanmar,3.75,
571,Conimex,Oriental Noodles Soto Ajam,Cup,Netherlands,3.0,
572,Sichuan Baijia,Hot spicy Flavor Instant Vermicelli,Bowl,China,3.5,
573,Nongshim,Rice Fettucini Alfredo,Pack,United States,3.75,
574,Kamfen,Wonton Noodles Beef Flavour,Bowl,Hong Kong,3.75,
575,A-Sha Dry Noodle,Hakka Spicy Barbeque Sauce,Pack,Taiwan,4.5,
576,Nissin,Donbei Dashi Shoyu Yakiudon,Bowl,Japan,3.75,
577,Nissin,Raoh Rich Miso Flavor,Bowl,Japan,5.0,
578,Nissin,Cup Noodles Tom Yum Goong,Cup,Japan,3.8,
579,Nissin,Cup Noodle Big Seafood Clam Chowder,Cup,Japan,4.0,
580,Nissin,Chikin Ramen Donburi,Bowl,Japan,5.0,
581,Nissin,Curry Udon,Cup,Japan,5.0,
582,Nissin,Men Shokunin Shoyu,Bowl,Japan,5.0,
583,Nissin,Cup Noodle Vegeta Buta-kyabetsu Tonkotsu,Cup,Japan,4.3,
584,Nissin,Cup Noodle Pasta Style Tarako Spaghetti,Cup,Japan,4.0,
585,Nissin,Cup Noodle Big Cheese Mexican Chilli,Cup,Japan,5.0,
586,Nissin,Gyoretsu-no-Dekiru-Mise-no-Ramen (Shrimp Tantanmen),Bowl,Japan,5.0,
587,Nissin,Raoh Tonkotsu,Pack,Japan,5.0,
588,Nissin,Cup Noodle Light Plus Ratatouille,Cup,Japan,4.5,
589,Nissin,Cup Noodle Milk Chikin Ramen,Cup,Japan,5.0,
590,Nissin,Cup Noodle,Cup,Japan,5.0,
591,MyKuali,Penang White curry Noodle Authentic Taste,Pack,Malaysia,5.0,
592,MAMA,Instant Noodles Chicken Soup Flavour,Pack,Myanmar,3.5,
593,Nissin,Yokohama Walker Iekei Ramen,Bowl,Japan,4.5,
594,A-Sha Dry Noodle,Quinoa Noodle With Oyster Sauce And Vegetables,Pack,Taiwan,4.25,
595,Prima Taste,Singapore Prawn Soup La Mian,Pack,Singapore,5.0,
596,Nissin,Chinese Tan Tan Vermicelli,Cup,Hong Kong,5.0,
597,Tokushima Seifun,Tokushima Ramen,Pack,Japan,4.0,
598,Master Kong,Assorted Pork Bone Noodle,Pack,China,4.0,
599,MyKuali,Penang Red tom Yum Goong Noodle Authentic Taste,Pack,Malaysia,5.0,
600,Suimin,Noodles Witrh Prawn & Chicken Flavour,Cup,Australia,3.5,
601,Nissin,BIG Cup Noodle Ajillo,Cup,Japan,3.0,
602,CarJEN,Nyonya Curry Laksa (Improved Taste),Pack,Malaysia,5.0,
603,MyOri,Malaysia Penang Green Curry Vermicelli (New Package),Pack,Malaysia,5.0,
604,Itsuki,Kumamoto Spicy Ramen,Pack,Japan,4.25,
605,Nissin,Soba Fried Noodles Classic,Pack,Germany,3.25,
606,Samyang Foods,Cheese Curry Ramyun,Pack,South Korea,5.0,
607,Nissin,Cup Noodles Sabor Calabresa,Pack,Brazil,4.25,
608,Doll,Spicy Flavour Instant Mifun,Pack,Hong Kong,2.75,
609,Fujiwara,Horse Crab Flavour Ramen,Pack,Japan,3.5,
610,MyOri,Malaysia Penang Red Curry Noodle,Pack,Malaysia,5.0,
611,Nongshim,Noodle Soup Seasoned With Real Kimchi,Pack,USA,4.75,
612,Nissin,Top Ramen Chicken Flavor Ramen Noodle Soup (New Packaging),Pack,USA,3.5,
613,Tokushima Seifun,Kinchan Ramen,Pack,Japan,4.5,
614,Wei Lih,GGE Noodle Snack Wheat Crackers Soy Sauce Ramen,Pack,Taiwan,3.75,
615,MyKuali,Penang Spicy Prawn Soup Noodle Authentic Taste,Pack,Malaysia,5.0,
616,MAMA,Instant Noodles Coconut Milk Flavour,Pack,Myanmar,5.0,2016 #10
617,Kabuto Noodles,Rice Noodles Vegetable Laksa,Cup,UK,3.75,
618,Kabuto Noodles,Rice Noodles Chicken Pho,Cup,UK,3.5,
619,Kabuto Noodles,Chicken Ramen,Cup,UK,4.25,
620,Kabuto Noodles,Chilli Chicken Ramen,Cup,UK,4.0,
621,Myojo,Charumera Shoyu Ramen,Pack,Japan,4.0,
622,IbuRamen,Mi Goreng Bento Noodles In A Box Curry Masala Flavour,Tray,USA,4.0,
623,MAMA,Cup Vegetarian Instant Noodles Tom Yum Flavour,Cup,Thailand,4.0,
624,Maruchan,Spicy Tomato Salsa Ramen,Cup,Japan,0.0,
625,Nissin,Raoh Ramen Noodle Soup Umami Soy Sauce Flavor,Pack,USA,4.75,
626,Koh Thai,Island Of Flavours Spicy Thai Chicken Instant Noodles Soup,Pack,Netherlands,2.0,
627,Prima Taste,Singapore Fish Soup La Mian,Pack,Singapore,5.0,
628,Ve Wong,Kung-Fu Brand Instant Oriental Noodle Soup Artificial Beef Flavor,Pack,Taiwan,3.75,
629,Nissin,Cup Noodles Ramen Noodle Soup Hearty Chicken Flavor [New Package],Cup,USA,4.25,
630,Fujiwara,Red King Crab Flavour Ramen,Pack,Japan,4.0,
631,Bamee,Oriental Style Instant Noodles Shrimp Flavour (Tom Yum),Pack,Thailand,3.5,
632,Sichuan Baijia,Artificial Pickled Cabbage Fish Flavor Instant Vermicelli,Pack,China,1.5,
633,Prima Taste,Singapore Laksa Wholegrain La Mian,Pack,Singapore,5.0,2016 #1
634,Nissin,Raoh Shio Ramen,Pack,Japan,4.75,
635,MAMA,Oriental Style Instant Noodles Masala Flavour,Pack,Bangladesh,3.5,
636,Wei Lih,GGE Noodle Snack Wheat Crackers Hot Spicy,Pack,Taiwan,5.0,
637,New Touch,Sugomen Niigata Seabura Shoyu Ramen,Bowl,Japan,5.0,
638,Ibumie,Always Mi Goreng Perisa Sambal Udang,Pack,Malaysia,3.5,
639,Unox,Good Noodles Tandoori,Pack,Netherlands,2.5,
640,Nissin,Cup Noodle Pasta Style Bolognese,Cup,Japan,5.0,
641,MAMA,Instant Noodles Shrimp Creamy Tom Yum Flavour,Pack,Myanmar,5.0,
642,Nissin,Donbei Kamodashi Soba,Bowl,Japan,5.0,
643,MAMA,Chicken Soup Flavour Cup Noodles,Cup,Myanmar,3.75,
644,Fortune,Rice Noodle Coconut Curry,Pack,USA,1.0,
645,Love Cook,Guanmiao Dried Noodles With Oleum Sesami,Pack,Taiwan,3.75,
646,Love Cook,Guanmiao Dried Noodles With Spicy Sauce,Pack,Taiwan,5.0,
647,Love Cook,Guanmiao Dried Noodles With Authentic Sauce,Pack,Taiwan,4.5,
648,Love Cook,Guanmiao Dried Noodles With Shallot Flavor,Pack,Taiwan,3.75,
649,Bonasia,Instant Noodles chicken Flavour,Pack,Hungary,3.75,
650,Koh Thai,Island Of Flavours Lemongrass Instant Noodles Soup,Pack,Netherlands,0.25,
651,MAMA,Instant Noodles Minced Pork Flavour,Pack,Cambodia,3.5,
652,Bamee,Instant Noodles Oriental Style Chicken Flavour,Pack,Thailand,3.0,
